document_id,chapter_id,chapter_number,chapter_title,start_line,end_line,paragraph_count
hongloumeng,hongloumeng_ch001,1,甄士隱夢幻識通靈 賈雨村風塵懷閨秀,1,43,40
hongloumeng,hongloumeng_ch002,2,賈夫人仙逝揚州城 冷子興演說榮國府,44,71,25
hongloumeng,hongloumeng_ch003,3,金陵城起復賈雨村 榮國府收養林黛玉,72,102,27
hongloumeng,hongloumeng_ch004,4,薄命女偏逢薄命郎 葫蘆僧亂判葫蘆案,103,126,22
hongloumeng,hongloumeng_ch005,5,開生面夢演紅樓夢 立新場情傳幻境情,127,204,76
hongloumeng,hongloumeng_ch006,6,賈寶玉初試雲雨情 劉姥姥一進榮國府,205,234,28
hongloumeng,hongloumeng_ch007,7,送宮花周瑞嘆英蓮 談肆業秦鐘結寶玉,235,261,26
hongloumeng,hongloumeng_ch008,8,薛寶釵小恙梨香院 賈寶玉大醉絳芸軒,262,291,28
hongloumeng,hongloumeng_ch009,9,戀風流情友入家塾 起嫌疑頑童鬧學堂,292,310,16
hongloumeng,hongloumeng_ch010,10,金寡婦貪利權受辱 張太醫論病細窮源,311,330,17
hongloumeng,hongloumeng_ch011,11,慶壽辰寧府排家宴 見熙鳳賈瑞起淫心,331,358,24
hongloumeng,hongloumeng_ch012,12,王熙鳳毒設相思局 賈天祥正照風月鑑,359,378,15
hongloumeng,hongloumeng_ch013,13,秦可卿死封龍禁尉 王熙鳳協理寧國府,379,403,21
hongloumeng,hongloumeng_ch014,14,林如海捐館揚州城 賈寶玉路謁北靜王,404,431,24
hongloumeng,hongloumeng_ch015,15,王鳳姐弄權鐵檻寺 秦鯨卿得趣饅頭庵,432,454,18
hongloumeng,hongloumeng_ch016,16,賈元春才選鳳藻宮 秦鯨卿夭逝黃泉路,455,484,26
hongloumeng,hongloumeng_ch017,17,大觀園試才題對額 怡紅院迷路探曲折,485,526,38
hongloumeng,hongloumeng_ch018,18,林黛玉誤剪香袋囊 賈元春歸省慶元宵,527,573,43
hongloumeng,hongloumeng_ch019,19,情切切良宵花解語 意綿綿靜日玉生香,574,611,34
hongloumeng,hongloumeng_ch020,20,王熙鳳正言彈妒意 林黛玉俏語謔嬌音,612,631,16
hongloumeng,hongloumeng_ch021,21,賢襲人嬌嗔箴寶玉 俏平兒軟語救賈璉,632,656,21
hongloumeng,hongloumeng_ch022,22,聽曲文寶玉悟禪機 制燈迷賈政悲讖語,657,705,45
hongloumeng,hongloumeng_ch023,23,西廂記妙詞通戲語 牡丹亭艷曲警芳心,706,734,25
hongloumeng,hongloumeng_ch024,24,醉金剛輕財尚義俠 痴女兒遺帕惹相思,735,769,31
hongloumeng,hongloumeng_ch025,25,魘魔法叔嫂逢五鬼 通靈玉蒙蔽遇雙真,770,802,31
hongloumeng,hongloumeng_ch026,26,蜂腰橋設言傳密意 湘館春困發幽情,803,836,33
hongloumeng,hongloumeng_ch027,27,滴翠亭楊妃戲彩蝶 埋香塚飛燕泣殘紅,837,857,20
hongloumeng,hongloumeng_ch028,28,蔣玉菡情贈茜香羅 薛寶釵羞籠紅麝串,858,917,59
hongloumeng,hongloumeng_ch029,29,享福人福深還禱福 痴情女情重愈斟情,918,944,26
hongloumeng,hongloumeng_ch030,30,寶釵借扇機帶雙敲 齡官劃薔痴及局外,945,960,15
hongloumeng,hongloumeng_ch031,31,撕扇子作千金一笑 因麒麟伏白首雙星,961,971,10
hongloumeng,hongloumeng_ch032,32,訴肺腑心迷活寶玉 含恥辱情烈死金釧,972,983,11
hongloumeng,hongloumeng_ch033,33,手足耽耽小動唇舌 不肖種種大承笞撻,984,994,10
hongloumeng,hongloumeng_ch034,34,情中情因情感妹妹 錯裏錯以錯勸哥哥,995,1013,18
hongloumeng,hongloumeng_ch035,35,白玉釧親嘗蓮葉羹 黃金鶯巧結梅花絡,1014,1030,16
hongloumeng,hongloumeng_ch036,36,繡鴛鴦夢兆絳芸軒 識分定情悟梨香院,1031,1044,13
hongloumeng,hongloumeng_ch037,37,秋爽齋偶結海棠社 蘅蕪苑夜擬菊花題,1045,1076,31
hongloumeng,hongloumeng_ch038,38,林瀟湘魁奪菊花詩 薛蘅蕪諷和螃蟹詠,1077,1106,29
hongloumeng,hongloumeng_ch039,39,村姥姥是信口開合 情哥哥偏尋根究底,1107,1117,10
hongloumeng,hongloumeng_ch040,40,史太君兩宴大觀園 金鴛鴦三宣牙牌令,1118,1135,17
hongloumeng,hongloumeng_ch041,41,櫳翠庵茶品梅花雪 怡紅院劫遇母蝗蟲,1136,1153,17
hongloumeng,hongloumeng_ch042,42,蘅蕪君蘭言解疑癖 瀟湘子雅謔補餘香,1154,1173,19
hongloumeng,hongloumeng_ch043,43,閑取樂偶攢金慶壽 不了情暫撮土為香,1174,1194,19
hongloumeng,hongloumeng_ch044,44,變生不測鳳姐潑醋 喜出望外平兒理妝,1195,1215,20
hongloumeng,hongloumeng_ch045,45,金蘭契互剖金蘭語 風雨夕悶制風雨詞,1216,1239,23
hongloumeng,hongloumeng_ch046,46,尷尬人難免尷尬事 鴛鴦女誓絕鴛鴦偶,1240,1262,22
hongloumeng,hongloumeng_ch047,47,呆霸王調情遭苦打 冷郎君懼禍走他鄉,1263,1283,20
hongloumeng,hongloumeng_ch048,48,濫情人情誤思游藝 慕雅女雅集苦吟詩,1284,1307,23
hongloumeng,hongloumeng_ch049,49,琉璃世界白雪紅梅 脂粉香娃割腥啖膻,1308,1335,27
hongloumeng,hongloumeng_ch050,50,蘆雪庵爭聯即景詩 暖香塢雅制春燈謎,1336,1443,106
hongloumeng,hongloumeng_ch051,51,薛小妹新編懷古詩 胡庸醫亂用虎狼藥,1444,1476,31
hongloumeng,hongloumeng_ch052,52,俏平兒情掩蝦鬚鐲 勇晴雯病補雀金裘,1477,1501,24
hongloumeng,hongloumeng_ch053,53,寧國府除夕祭宗祠 國府元宵開夜宴,1502,1533,31
