entity_key,canonical_name,motif_key,motif_type,subtype,cooccurrence_count
person_jia_baoyu,賈寶玉,motif_jade,物象,玉石,4669
person_lin_daiyu,林黛玉,motif_jade,物象,玉石,1752
person_zijuan,紫鵑,motif_purple,顏色,紫色,466
person_xue_baochai,薛寶釵,motif_jade,物象,玉石,350
person_jia_mu,賈母,motif_jade,物象,玉石,337
person_xiren,襲人,motif_jade,物象,玉石,311
person_xiangling,香菱,motif_fragrance,感官,香氣,304
person_she_yue,麝月,motif_moon,自然,月,254
person_wang_furen,王夫人,motif_jade,物象,玉石,218
person_jia_yucun,賈雨村,motif_rain,自然,雨,193
person_miaoyu,妙玉,motif_jade,物象,玉石,190
person_xueyan,雪雁,motif_snow,自然,雪,151
person_zijuan,紫鵑,motif_jade,物象,玉石,144
person_wang_xifeng,王熙鳳,motif_jade,物象,玉石,143
person_jia_zheng,賈政,motif_jade,物象,玉石,132
person_lin_daiyu,林黛玉,motif_purple,顏色,紫色,106
person_shi_xiangyun,史湘雲,motif_jade,物象,玉石,97
person_jia_baoyu,賈寶玉,motif_red,顏色,紅色,95
person_jia_baoyu,賈寶玉,motif_illness,身體,疾病,91
person_jia_baoyu,賈寶玉,motif_book,文藝,書,90
person_jia_baoyu,賈寶玉,motif_tears,情感身體,哭泣,87
person_jia_tanchun,賈探春,motif_jade,物象,玉石,78
person_jia_baoyu,賈寶玉,motif_moon,自然,月,74
person_jia_baoyu,賈寶玉,motif_tea,飲食,茶,70
person_yuchuan,玉釧,motif_jade,物象,玉石,69
person_jia_mu,賈母,motif_illness,身體,疾病,65
person_jia_baoyu,賈寶玉,motif_fragrance,感官,香氣,63
person_qingwen,晴雯,motif_jade,物象,玉石,62
person_jia_baoyu,賈寶玉,motif_gold,物象,金,60
person_she_yue,麝月,motif_jade,物象,玉石,59
person_jia_baoyu,賈寶玉,motif_flower,花木,泛花,58
person_jinchuan,金釧,motif_gold,物象,金,55
person_lin_daiyu,林黛玉,motif_tears,情感身體,哭泣,54
person_jia_baoyu,賈寶玉,motif_purple,顏色,紫色,54
person_wang_furen,王夫人,motif_tears,情感身體,哭泣,52
person_jia_mu,賈母,motif_tears,情感身體,哭泣,52
person_xiren,襲人,motif_moon,自然,月,51
person_jia_baoyu,賈寶玉,motif_tears,情感身體,眼淚,51
person_lin_daiyu,林黛玉,motif_illness,身體,疾病,48
person_lin_daiyu,林黛玉,motif_tears,情感身體,眼淚,48
person_zijuan,紫鵑,motif_snow,自然,雪,48
person_jia_mu,賈母,motif_wine,飲食,酒,48
person_xueyan,雪雁,motif_purple,顏色,紫色,48
person_xue_yima,薛姨媽,motif_jade,物象,玉石,46
person_xueyan,雪雁,motif_jade,物象,玉石,46
person_lin_daiyu,林黛玉,motif_red,顏色,紅色,45
person_jia_baoyu,賈寶玉,motif_white,顏色,白色,45
person_li_wan,李紈,motif_jade,物象,玉石,44
person_jia_mu,賈母,motif_tears,情感身體,眼淚,44
person_lin_daiyu,林黛玉,motif_snow,自然,雪,42
person_jia_mu,賈母,motif_moon,自然,月,42
person_xue_baochai,薛寶釵,motif_fragrance,感官,香氣,41
person_qingwen,晴雯,motif_moon,自然,月,39
