entity_key,canonical_name,entity_type,subtype,total_occurrences,first_chapter,last_chapter,chapter_count,surface_forms
building_daoxiangcun,稻香村,BUILDING,residence,20,17,98,15,稻香村
building_hengwuyuan,蘅蕪苑,BUILDING,residence,20,18,78,13,蘅蕪苑
building_hulu_miao,葫蘆廟,BUILDING,temple,7,1,4,2,葫蘆廟
building_longcui_an,櫳翠庵,BUILDING,temple,20,41,120,14,櫳翠庵
building_ningguofu,寧國府,BUILDING,mansion,21,2,120,13,寧國府
building_nuanxiangwu,暖香塢,BUILDING,garden_space,3,48,74,3,暖香塢
building_qiushuangzhai,秋爽齋,BUILDING,residence,6,23,101,5,秋爽齋
building_rongguofu,榮國府,BUILDING,mansion,30,2,117,18,榮國府
building_tiexian_si,鐵檻寺,BUILDING,temple,24,12,115,13,鐵檻寺
building_xiaoxiangguan,瀟湘館,BUILDING,residence,68,18,108,38,瀟湘館
building_yihongyuan,怡紅院,BUILDING,residence,85,18,108,45,怡紅院
object_fengyue_baojian,風月寶鑑,OBJECT,symbolic_object,1,12,12,1,風月寶鑑
object_tongling_baoyu,通靈寶玉,OBJECT,symbolic_object,5,1,94,4,通靈寶玉
object_yu,玉,OBJECT,jade,305,1,120,76,玉
person_jia_baoyu,賈寶玉,PERSON,main_character,4068,2,120,116,寶二爺|寶玉|怡紅公子
person_jia_huan,賈環,PERSON,family_member,151,18,119,32,賈環
person_jia_lan,賈蘭,PERSON,family_member,93,4,120,24,賈蘭
person_jia_lian,賈璉,PERSON,main_character,805,2,120,74,璉二爺|賈璉
person_jia_mu,賈母,PERSON,elder,2669,3,120,117,史太君|老太太|賈母
person_jia_rong,賈蓉,PERSON,family_member,231,2,120,40,賈蓉
person_jia_she,賈赦,PERSON,family_elder,194,2,120,36,賈赦
person_jia_tanchun,賈探春,PERSON,main_character,439,2,119,61,探春
person_jia_xichun,賈惜春,PERSON,main_character,192,2,119,51,惜春
person_jia_yingchun,賈迎春,PERSON,main_character,143,2,116,45,迎春
person_jia_yuanchun,賈元春,PERSON,main_character,63,2,120,23,元妃|元春|賈元春
person_jia_yucun,賈雨村,PERSON,official,183,1,120,20,賈雨村|雨村
person_jia_zhen,賈珍,PERSON,family_elder,426,2,120,57,珍大爺|賈珍
person_jia_zheng,賈政,PERSON,family_elder,939,2,120,67,政老爹|賈政
person_jinchuan,金釧,PERSON,maid,51,7,46,13,金釧
person_lai_da,賴大,PERSON,servant,90,16,115,25,賴大
person_leng_zixing,冷子興,PERSON,secondary,8,2,104,4,冷子興
person_li_wan,李紈,PERSON,main_character,375,4,119,59,李紈|稻香老農
person_lin_daiyu,林黛玉,PERSON,main_character,1535,2,120,94,林姑娘|林黛玉|瀟湘妃子|顰兒|黛玉
person_lin_ruhai,林如海,PERSON,family_member,10,2,92,5,林如海
person_liu_laolao,劉姥姥,PERSON,secondary,287,6,120,9,劉姥姥
person_miaoyu,妙玉,PERSON,main_character,153,18,118,18,妙玉
person_ping_er,平兒,PERSON,maid,693,6,120,70,平兒
person_qin_keqing,秦可卿,PERSON,main_character,8,5,111,2,可卿
person_qingwen,晴雯,PERSON,maid,339,5,116,44,晴雯
person_qiuwen,秋紋,PERSON,maid,97,19,120,32,秋紋
person_ruhua,入畫,PERSON,maid,19,7,78,9,入畫
person_she_yue,麝月,PERSON,maid,233,5,118,46,麝月
person_shi_xiangyun,史湘雲,PERSON,main_character,417,20,119,44,史湘雲|湘雲|雲妹妹
person_shishu,侍書,PERSON,maid,28,55,90,4,侍書
person_siqi,司棋,PERSON,maid,81,7,92,15,司棋
person_wang_furen,王夫人,PERSON,family_elder,1071,3,120,106,王夫人
person_wang_xifeng,王熙鳳,PERSON,main_character,1765,3,120,104,熙鳳|王熙鳳|璉二奶奶|鳳姐|鳳姐兒
