chapter_id,chapter_number,motif_key,motif_type,subtype,count
hongloumeng_ch001,1,motif_bamboo,花木,竹,2
hongloumeng_ch001,1,motif_book,文藝,書,19
hongloumeng_ch001,1,motif_dream,夢幻,夢,4
hongloumeng_ch001,1,motif_flower,花木,泛花,7
hongloumeng_ch001,1,motif_fragrance,感官,香氣,2
hongloumeng_ch001,1,motif_gold,物象,金,3
hongloumeng_ch001,1,motif_green,顏色,綠色,1
hongloumeng_ch001,1,motif_green_blue,顏色,青色,3
hongloumeng_ch001,1,motif_illness,身體,疾病,2
hongloumeng_ch001,1,motif_jade,物象,玉石,10
hongloumeng_ch001,1,motif_lotus,花木,蓮,6
hongloumeng_ch001,1,motif_moon,自然,月,12
hongloumeng_ch001,1,motif_poetry,文藝,詩,8
hongloumeng_ch001,1,motif_purple,顏色,紫色,1
hongloumeng_ch001,1,motif_rain,自然,雨,25
hongloumeng_ch001,1,motif_red,顏色,紅色,11
hongloumeng_ch001,1,motif_snow,自然,雪,2
hongloumeng_ch001,1,motif_stone,物象,石,24
hongloumeng_ch001,1,motif_tea,飲食,茶,2
hongloumeng_ch001,1,motif_tears,情感身體,眼淚,3
hongloumeng_ch001,1,motif_tears,情感身體,哭泣,4
hongloumeng_ch001,1,motif_white,顏色,白色,7
hongloumeng_ch001,1,motif_willow,花木,柳,1
hongloumeng_ch001,1,motif_wind,自然,風,14
hongloumeng_ch001,1,motif_wine,飲食,酒,7
hongloumeng_ch002,2,motif_bamboo,花木,竹,1
hongloumeng_ch002,2,motif_book,文藝,書,14
hongloumeng_ch002,2,motif_flower,花木,泛花,2
hongloumeng_ch002,2,motif_fragrance,感官,香氣,4
hongloumeng_ch002,2,motif_gold,物象,金,6
hongloumeng_ch002,2,motif_illness,身體,疾病,3
hongloumeng_ch002,2,motif_jade,物象,玉石,7
hongloumeng_ch002,2,motif_medicine,身體,藥,1
hongloumeng_ch002,2,motif_moon,自然,月,6
hongloumeng_ch002,2,motif_poetry,文藝,詩,4
hongloumeng_ch002,2,motif_rain,自然,雨,39
hongloumeng_ch002,2,motif_red,顏色,紅色,2
hongloumeng_ch002,2,motif_stone,物象,石,3
hongloumeng_ch002,2,motif_tea,飲食,茶,2
hongloumeng_ch002,2,motif_white,顏色,白色,1
hongloumeng_ch002,2,motif_willow,花木,柳,1
hongloumeng_ch002,2,motif_wind,自然,風,8
hongloumeng_ch002,2,motif_wine,飲食,酒,6
hongloumeng_ch003,3,motif_book,文藝,書,19
hongloumeng_ch003,3,motif_flower,花木,泛花,20
hongloumeng_ch003,3,motif_fragrance,感官,香氣,2
hongloumeng_ch003,3,motif_gold,物象,金,16
hongloumeng_ch003,3,motif_green,顏色,綠色,4
hongloumeng_ch003,3,motif_green_blue,顏色,青色,10
hongloumeng_ch003,3,motif_illness,身體,疾病,7
hongloumeng_ch003,3,motif_jade,物象,玉石,119
hongloumeng_ch003,3,motif_medicine,身體,藥,6
hongloumeng_ch003,3,motif_moon,自然,月,8
hongloumeng_ch003,3,motif_plum_blossom,花木,梅花,1
hongloumeng_ch003,3,motif_poetry,文藝,詩,1
hongloumeng_ch003,3,motif_purple,顏色,紫色,3
hongloumeng_ch003,3,motif_rain,自然,雨,14
hongloumeng_ch003,3,motif_red,顏色,紅色,10
hongloumeng_ch003,3,motif_snow,自然,雪,2
hongloumeng_ch003,3,motif_stone,物象,石,7
hongloumeng_ch003,3,motif_tea,飲食,茶,14
hongloumeng_ch003,3,motif_tears,情感身體,眼淚,5
hongloumeng_ch003,3,motif_tears,情感身體,哭泣,3
hongloumeng_ch003,3,motif_white,顏色,白色,1
hongloumeng_ch003,3,motif_willow,花木,柳,2
hongloumeng_ch003,3,motif_wind,自然,風,6
hongloumeng_ch004,4,motif_book,文藝,書,15
hongloumeng_ch004,4,motif_dream,夢幻,夢,1
hongloumeng_ch004,4,motif_flower,花木,泛花,4
hongloumeng_ch004,4,motif_fragrance,感官,香氣,5
hongloumeng_ch004,4,motif_gold,物象,金,7
hongloumeng_ch004,4,motif_green_blue,顏色,青色,1
hongloumeng_ch004,4,motif_illness,身體,疾病,2
hongloumeng_ch004,4,motif_jade,物象,玉石,5
hongloumeng_ch004,4,motif_lotus,花木,蓮,8
hongloumeng_ch004,4,motif_moon,自然,月,1
hongloumeng_ch004,4,motif_poetry,文藝,詩,2
hongloumeng_ch004,4,motif_purple,顏色,紫色,1
hongloumeng_ch004,4,motif_rain,自然,雨,26
hongloumeng_ch004,4,motif_snow,自然,雪,2
hongloumeng_ch004,4,motif_stone,物象,石,2
hongloumeng_ch004,4,motif_tears,情感身體,哭泣,1
hongloumeng_ch004,4,motif_white,顏色,白色,6
hongloumeng_ch004,4,motif_wind,自然,風,4
hongloumeng_ch004,4,motif_wine,飲食,酒,2
hongloumeng_ch005,5,motif_book,文藝,書,8
hongloumeng_ch005,5,motif_dream,夢幻,夢,16
hongloumeng_ch005,5,motif_flower,花木,泛花,18
hongloumeng_ch005,5,motif_fragrance,感官,香氣,17
hongloumeng_ch005,5,motif_gold,物象,金,19
hongloumeng_ch005,5,motif_green,顏色,綠色,3
hongloumeng_ch005,5,motif_green_blue,顏色,青色,3
hongloumeng_ch005,5,motif_haitang,花木,海棠,1
hongloumeng_ch005,5,motif_jade,物象,玉石,87
hongloumeng_ch005,5,motif_lotus,花木,蓮,2
hongloumeng_ch005,5,motif_moon,自然,月,14
hongloumeng_ch005,5,motif_plum_blossom,花木,梅花,1
hongloumeng_ch005,5,motif_poetry,文藝,詩,1
hongloumeng_ch005,5,motif_purple,顏色,紫色,1
hongloumeng_ch005,5,motif_rain,自然,雨,5
hongloumeng_ch005,5,motif_red,顏色,紅色,10
hongloumeng_ch005,5,motif_snow,自然,雪,7
hongloumeng_ch005,5,motif_song_drama,文藝,曲,9
hongloumeng_ch005,5,motif_stone,物象,石,3
hongloumeng_ch005,5,motif_tea,飲食,茶,4
hongloumeng_ch005,5,motif_tears,情感身體,眼淚,4
hongloumeng_ch005,5,motif_tears,情感身體,哭泣,3
hongloumeng_ch005,5,motif_white,顏色,白色,4
