conflict_id,sentence_id,text,char_start,char_end,candidate_entity_keys,candidate_types,candidate_sources,reason,suggested_resolution
hongloumeng_ncf0000001,hongloumeng_s000083,玉峰,2,4,|object_yu,OBJECT|PERSON,ckip-albert-tiny|rule,overlapping_candidates,PERSON
hongloumeng_ncf0000002,hongloumeng_s000083,紅樓夢,7,10,,COLOR|MOTIF|WORK_OF_ART,ckip-albert-tiny|rule,overlapping_candidates,WORK_OF_ART
hongloumeng_ncf0000003,hongloumeng_s000092,葫蘆廟,35,38,|building_hulu_miao,BUILDING|FAC,ckip-albert-tiny|rule,overlapping_candidates,building_hulu_miao
hongloumeng_ncf0000004,hongloumeng_s000098,英蓮,19,21,|person_xiangling|plant_lian,FLOWER|GPE|PERSON,alias|ckip-albert-tiny|rule,overlapping_candidates,person_xiangling
hongloumeng_ncf0000005,hongloumeng_s000154,通靈寶玉,26,30,object_tongling_baoyu|object_yu|person_jia_baoyu,OBJECT|PERSON,alias|rule,overlapping_candidates,object_tongling_baoyu
hongloumeng_ncf0000006,hongloumeng_s000162,英蓮,7,9,|person_xiangling|plant_lian,FLOWER|GPE|PERSON,alias|ckip-albert-tiny|rule,overlapping_candidates,person_xiangling
hongloumeng_ncf0000007,hongloumeng_s000184,葫蘆廟,11,14,|building_hulu_miao,BUILDING|GPE,ckip-albert-tiny|rule,overlapping_candidates,building_hulu_miao
hongloumeng_ncf0000008,hongloumeng_s000185,賈雨村,1,4,|person_jia_yucun,PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000009,hongloumeng_s000187,雨村,2,4,|person_jia_yucun,GPE|PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000010,hongloumeng_s000187,士隱,6,8,|person_zhen_shiyin,PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_zhen_shiyin
hongloumeng_ncf0000011,hongloumeng_s000203,雨村,11,13,|person_jia_yucun,GPE|PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000012,hongloumeng_s000213,雨村,0,2,|person_jia_yucun,PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000013,hongloumeng_s000217,雨村,27,29,|person_jia_yucun,GPE|PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000014,hongloumeng_s000218,雨村,2,4,|person_jia_yucun,GPE|PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000015,hongloumeng_s000219,中秋,4,6,,DATE|TIME,ckip-albert-tiny|rule,overlapping_candidates,TIME
hongloumeng_ncf0000016,hongloumeng_s000223,玉人樓,8,11,|object_yu,FAC|OBJECT,ckip-albert-tiny|rule,overlapping_candidates,FAC
hongloumeng_ncf0000017,hongloumeng_s000224,雨村,0,2,|person_jia_yucun,PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
hongloumeng_ncf0000018,hongloumeng_s000225,玉,0,1,|object_yu,OBJECT|PERSON,ckip-albert-tiny|rule,overlapping_candidates,PERSON
hongloumeng_ncf0000019,hongloumeng_s000242,雨村,0,2,|person_jia_yucun,GPE|PERSON,alias|ckip-albert-tiny,overlapping_candidates,person_jia_yucun
