entity_type,subtype,source,count,unique_surface_count,unique_entity_count
BUILDING,garden_space,rule,3,1,1
BUILDING,mansion,ckip-albert-tiny+rule,42,2,2
BUILDING,mansion,rule,9,2,2
BUILDING,residence,ckip-albert-tiny+rule,94,4,4
BUILDING,residence,rule,105,5,5
BUILDING,temple,ckip-albert-tiny+rule,27,3,3
BUILDING,temple,rule,24,3,3
CARDINAL,,ckip-albert-tiny,6698,363,363
CARDINAL,,ckip-albert-tiny+rule,3,3,3
CLOTHING,clothing,rule,110,2,2
CLOTHING,ornament,rule,2,1,1
CLOTHING,outerwear,rule,18,1,1
COLOR,basic_color,ckip-albert-tiny+rule,9,1,1
COLOR,basic_color,rule,1322,5,5
COLOR,compound_color,ckip-albert-tiny+rule,2,1,1
COLOR,compound_color,rule,18,3,3
DATE,,ckip-albert-tiny,2069,579,579
DATE,,ckip-albert-tiny+rule,5,4,4
EVENT,,ckip-albert-tiny,15,15,15
FAC,,ckip-albert-tiny,284,197,197
FAC,,ckip-albert-tiny+rule,23,16,16
FLOWER,flower,ckip-albert-tiny+rule,115,7,6
FLOWER,flower,rule,175,9,8
FOOD,drink,ckip-albert-tiny+rule,1,1,1
FOOD,drink,rule,1086,2,2
FOOD,food,ckip-albert-tiny+rule,2,1,1
FOOD,food,rule,59,2,2
GPE,,ckip-albert-tiny,495,262,262
GPE,,ckip-albert-tiny+rule,6,5,5
LANGUAGE,,ckip-albert-tiny,8,8,8
LOC,,ckip-albert-tiny,100,80,80
LOC,,ckip-albert-tiny+rule,4,3,3
MEDICINE,medicine,rule,2,1,1
MONEY,,ckip-albert-tiny,64,41,41
MONEY,,ckip-albert-tiny+rule,3,3,3
MOTIF,dream,rule,150,1,1
MOTIF,illness,rule,657,1,1
MOTIF,tears,rule,356,1,1
NORP,,ckip-albert-tiny,50,39,39
NORP,,ckip-albert-tiny+rule,1,1,1
OBJECT,fragrance,rule,476,1,1
OBJECT,jade,rule,305,1,1
OBJECT,symbolic_object,alias+rule,4,1,1
OBJECT,symbolic_object,ckip-albert-tiny+alias,1,1,1
OBJECT,symbolic_object,ckip-albert-tiny+rule,1,1,1
ORDINAL,,ckip-albert-tiny,191,24,24
ORG,,ckip-albert-tiny,224,142,142
ORG,,ckip-albert-tiny+rule,6,5,5
PERCENT,,ckip-albert-tiny,1,1,1
PERSON,,ckip-albert-tiny,5053,1541,1541
PERSON,,ckip-albert-tiny+rule,336,112,112
PERSON,concubine,alias+rule,6,1,1
PERSON,concubine,ckip-albert-tiny+alias,129,1,1
PERSON,elder,alias,334,2,1
PERSON,elder,alias+rule,983,1,1
PERSON,elder,ckip-albert-tiny+alias,1352,2,1
PERSON,family_elder,alias,419,7,5
PERSON,family_elder,ckip-albert-tiny+alias,2666,6,5
PERSON,family_member,alias,130,5,5
PERSON,family_member,ckip-albert-tiny+alias,699,5,5
PERSON,maid,alias,2691,12,12
PERSON,maid,alias+rule,366,2,2
PERSON,maid,ckip-albert-tiny+alias,824,12,12
PERSON,main_character,alias,2637,19,12
PERSON,main_character,alias+rule,994,10,6
PERSON,main_character,ckip-albert-tiny+alias,7480,27,12
PERSON,official,alias,109,2,1
PERSON,official,ckip-albert-tiny+alias,74,2,1
PERSON,opening_character,alias,72,2,1
PERSON,opening_character,ckip-albert-tiny+alias,2,1,1
PERSON,secondary,alias,82,4,4
PERSON,secondary,ckip-albert-tiny+alias,347,4,4
PERSON,servant,alias,20,2,2
PERSON,servant,ckip-albert-tiny+alias,238,2,2
PERSON,servant_concubine,alias+rule,172,2,1
PERSON,servant_concubine,ckip-albert-tiny+alias,110,2,1
PLACE,garden,ckip-albert-tiny+rule,3,1,1
PLACE,garden,rule,43,1,1
PLANT,plant,ckip-albert-tiny+rule,101,2,2
PLANT,plant,rule,157,2,2
PRODUCT,,ckip-albert-tiny,32,31,31
PRODUCT,,ckip-albert-tiny+rule,9,9,9
QUANTITY,,ckip-albert-tiny,58,47,47
ROOM_SPACE,corridor,rule,14,1,1
ROOM_SPACE,garden_space,rule,114,1,1
ROOM_SPACE,room,rule,86,2,2
TIME,,ckip-albert-tiny,399,127,127
TIME,,ckip-albert-tiny+rule,4,3,3
TIME,date,ckip-albert-tiny+rule,1,1,1
TIME,festival,ckip-albert-tiny+rule,9,2,2
TIME,festival,rule,17,3,3
TITLE_ROLE,court_title,rule,77,2,2
TITLE_ROLE,family_title,ckip-albert-tiny+rule,24,3,3
TITLE_ROLE,family_title,rule,2628,4,4
TITLE_ROLE,religious,ckip-albert-tiny+rule,32,1,1
TITLE_ROLE,religious,rule,136,2,2
TITLE_ROLE,servant,ckip-albert-tiny+rule,29,3,3
TITLE_ROLE,servant,rule,828,4,4
WORK_OF_ART,,ckip-albert-tiny,243,185,185
WORK_OF_ART,,ckip-albert-tiny+rule,21,14,14
